First Name, Last Name, Email, Roles, Password, Phone number, Team
Brian, Maiden, brian.maiden@opgtest.com, "OPG User, System Admin", Password1, 12345678, ""
opg, user, opg.user@opgtest.com, "OPG User", Password1, 12345678, ""
cop, user, cop.user@opgtest.com, "COP User", Password1, 12345678, ""
!Manager, Team, manager@opgtest.com, "OPG User, POA User, Manager, Reporting User", Password1, 12345678, ""
atwo, manager, 2manager@opgtest.com, "OPG User, Manager, Self Allocation User", Password1,, "Casework Team 01"
athree, manager, 3manager@opgtest.com, "OPG User, Manager, Self Allocation User", Password1, 12345678, "Casework Team 02"
afour, manager, 4manager@opgtest.com, "OPG User, Manager, Self Allocation User", Password1, 12345678, "Casework Team 03"
contact, centreuser, contact.centre.user@opgtest.com, "OPG User, Contact Centre User", Password1, 12345678, ""
system, admin, system.admin@opgtest.com, "OPG User, System Admin", Password1, 12345678, ""
poa, user, poa.user@opgtest.com, "OPG User, POA User, Self Allocation User", Password1, 12345678, "Casework Team 01"
poatwo, user, 2poa.user@opgtest.com, "OPG User, POA User, Self Allocation User", Password1, 12345678, "Casework Team 01"
poathree, user, 3poa.user@opgtest.com, "OPG User, POA User, Self Allocation User", Password1, 12345678, "Casework Team 01"
poafour, user, 4poa.user@opgtest.com, "OPG User, POA User, Self Allocation User", Password1, 12345678, "Casework Team 02"
poafive, user, 5poa.user@opgtest.com, "OPG User, POA User, Self Allocation User", Password1, 12345678, "Casework Team 02"
poasix, user, 6poa.user@opgtest.com, "OPG User, POA User, Self Allocation User", Password1, 12345678, "Casework Team 02"
poaseven, user, 7poa.user@opgtest.com, "OPG User, POA User, Self Allocation User", Password1, 12345678, "Casework Team 02"
poaeight, user, 8poa.user@opgtest.com, "OPG User, POA User, Self Allocation User", Password1, 12345678, "Casework Team 03"
reporting, user, reporting.user@opgtest.com, "OPG User, Reporting User", Password1, 12345678, ""
case, manager, case.manager@opgtest.com, "OPG User, Case Manager", Password1, 12345678, ""
unit, manager, unit.manager@opgtest.com, "OPG User, Unit Manager", Password1, 12345678, ""
investigations, user, investigations.user@opgtest.com, "OPG User, Investigations User", Password1, 12345678, ""
visits team, user, visitsteam.user@opgtest.com, "OPG User, Visits Team User", Password1, 12345678, ""
panel deputy, user, paneldeputy.user@opgtest.com, "OPG User, Panel Deputy User", Password1, 12345678, ""
Dispatch,User1,dispatch@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Dispatch Team"
Fees Team,User,fees.team.user@opgtest.com,"OPG User, Manager",Password1,,!Fees Team
Scanning, Team, scanning.team@opgtest.com, "OPG User, DDC", Password1, 12345678, ""
Scanning, Team, opg_document_and_d@publicguardian.gsi.gov.uk, "OPG User, DDC", Password1, 12345678, ""
Casrec, user, casrec@opgtest.com, "OPG User, Manager", Password1, 12345678, ""
Locked, User, locked.user@opgtest.com, "OPG User", Password1, 12345678, ""
Scheduler, User, opg+sirius@digital.justice.gov.uk, "OPG User", Password1, 12345678, ""
PublicAPI, User, publicapi@opgtest.com, "OPG User, Public API", Password1, 12345678, ""
Finance, User, finance.user@opgtest.com, "OPG User, Case Manager, Finance User", Password1, 12345678, "Debt Management - (Supervision)"
Finance, Reporting, finance.reporting@opgtest.com, "OPG User, Case Manager, Finance Reporting", Password1, 12345678, "Debt Management - (Supervision)"
Corporate, Finance, corporate.finance@opgtest.com, "OPG User, Case Manager, Corporate Finance", Password1, 12345678, "Corporate Finance - (Supervision)"
Finance, Manager, finance.manager@opgtest.com, "OPG User, Case Manager, Finance Manager", Password1, 12345678, "Debt Management - (Supervision)"
Finance, User Testing, finance.user.testing@opgtest.com, "OPG User, Case Manager, Finance User, Finance Reporting, Corporate Finance, Finance Manager", Password1, 12345678, "Debt Management - (Supervision)"
Protractor, Test, protractor.test@opgtest.com, "OPG User, Case Manager, Finance User, Finance Reporting, Corporate Finance, Finance Manager", Password1, 12345678, ""
Allocations,User1,allocations@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Allocations - (Supervision)"
LayTeam1,User1,lay1-1@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User2,lay1-2@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
LayTeam1,User3,lay1-3@opgtest.com, "OPG User, Case Manager", Password1, 12345678, "Lay Team 1 - (Supervision)"
